id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
1,6230,0,0,0,0,99.99,51,Inner Regional Australia,4.632075471698113,4.8
2,3124,0,0,0,100,0,20,Major Cities of Australia,9.349397590361447,9
3,3134,0,0,0,100,0,20,Major Cities of Australia,7.288135593220339,8.6
4,2572,0,0,0,0,100,11,Inner Regional Australia,6.333333333333333,7.333333333333333
5,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
6,2262,0,0,0,99.72,0.03,10,Major Cities of Australia,2.8793103448275863,3.75
7,3082,0,0,0,100,0,20,Major Cities of Australia,4.947916666666667,4.75
8,2284,0,0,0,99.72,0,10,Major Cities of Australia,3.9285714285714284,4.6
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7109,98.98,0.01,0,0,0.96,62,Outer Regional Australia,4.28125,3.6
11,3130,0,0,0,100,0,20,Major Cities of Australia,7.381443298969073,7.1
12,3555,0,0,0,0,100,21,Inner Regional Australia,3.8983050847457625,5.4
13,3071,0,0,0,100,0,20,Major Cities of Australia,6.492307692307692,7.375
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3070,0,0,0,100,0,20,Major Cities of Australia,7.368421052631579,8.5
18,3352,1.78,0,0,0,98.22,21,Inner Regional Australia,5.9245283018867925,4.705882352941177
19,3462,0,0,0,0,100,21,Inner Regional Australia,4.5,5
20,4680,67.95,12.26,0,0,19.77,32,Outer Regional Australia,4.371212121212121,3.8
21,3075,0,0,0,100,0,20,Major Cities of Australia,1.8676470588235294,3.6666666666666665
22,3057,0,0,0,100,0,20,Major Cities of Australia,7.3023255813953485,7.857142857142857
23,5066,0,0,0,100,0,40,Major Cities of Australia,9.117647058823529,9.6
24,3213,0,0,0,4.68,95.32,21,Inner Regional Australia,5.3076923076923075,5
25,3013,0,0,0,100,0,20,Major Cities of Australia,7.659090909090909,6.166666666666667
26,2263,0,0,0,99.49,0,10,Major Cities of Australia,2.878787878787879,3.5714285714285716
27,3081,0,0,0,100,0,20,Major Cities of Australia,4.558139534883721,5.857142857142857
28,3756,0,0,0,8.95,91.05,21,Inner Regional Australia,6.133333333333334,6.333333333333333
29,3183,0,0,0,100,0,20,Major Cities of Australia,8.015384615384615,9
